"lat","lon","name"
44.2702777777778,-71.3033333333333,"Washington"
44.3205555555556,-71.2913888888889,"Adams"
44.3041666666667,-71.3169444444444,"Jefferson"
44.2555555555556,-71.3225,"Monroe"
44.3283333333333,-71.2783333333333,"Madison"
44.1607055555556,-71.6443611111111,"Lafayette"
44.1491666666667,-71.6443333333333,"Lincoln"
44.1875,-71.5553333333333,"South Twin"
44.2669444444444,-71.1788888888889,"Carter Dome"
44.0234916666667,-71.8313083333333,"Moosilauke"
44.2406666666667,-71.3503333333333,"Eisenhower"
44.2023333333333,-71.5583333333333,"North Twin"
44.0933333333333,-71.4475,"Carrigain"
44.1530555555556,-71.5311111111111,"Bond"
44.3030555555556,-71.1672222222222,"Middle Carter"
44.1547222222222,-71.5436111111111,"West Bond"
44.1871666666667,-71.6108333333333,"Garfield"
44.1158333333333,-71.6422222222222,"Liberty"
44.2897222222222,-71.1761111111111,"South Carter"
44.2588888888889,-71.2013888888889,"Wildcat, A peak"
44.0836111111111,-71.4936111111111,"Hancock"
44.123,-71.7366666666667,"South Kinsman"
44.1961666666667,-71.4333333333333,"Field"
44.0016138888889,-71.5356138888889,"Osceola"
44.1088888888889,-71.6277777777778,"Flume"
44.0733333333333,-71.4872222222222,"South Hancock"
44.226,-71.366,"Pierce"
44.123,-71.7366666666667,"North Kinsman"
44.1833333333333,-71.4166666666667,"Willey"
44.1405555555556,-71.5405555555556,"Bondcliff"
44.1796666666667,-71.5213333333333,"Zealand"
43.9733333333333,-71.4428333333333,"North Tripyramid"
44.506,-71.4143333333333,"Cabot"
44.0061111111111,-71.5202777777778,"East Osceola"
43.9733333333333,-71.4428333333333,"Middle Tripyramid"
44.1563888888889,-71.6983333333333,"Cannon"
44.2216666666667,-71.5121666666667,"Hale"
44.2031666666667,-71.3755,"Jackson"
44.2106666666667,-71.4461666666667,"Tom"
44.2588888888889,-71.2008333333333,"Wildcat, D Peak"
44.3402777777778,-71.1313888888889,"Moriah"
43.9547222222222,-71.3813888888889,"Passaconaway"
44.1444444444444,-71.605,"Owl's Head"
44.1852777777778,-71.5736111111111,"Galehead"
43.9338888888889,-71.4058333333333,"Whiteface"
44.4326666666667,-71.4176666666667,"Waumbek"
44.2146666666667,-71.3096666666667,"Isolation"
43.9665,-71.5566666666667,"Tecumseh"
